room_type,mae,mape,count
Entire Home/Apt,94.2862010715214,27.2259386512917,3003
Hotel Room,61.017150020127126,10.160666721146232,95
Private Room,54.6184633532315,41.54213795443371,1258
Shared Room,46.66922539714448,32.296820735914324,4
