feature,importance
beds,0.25255662596940676
desc_len,0.22530993034034566
name_len,0.12008438576092496
number_of_reviews,0.11928131884397056
review_scores_rating,0.09050608286769148
room_type_Private Room,0.08669963795779821
bedrooms,0.0696464297305733
host_is_superhost,0.023457286624042957
room_type_Hotel Room,0.006849143509398681
room_type_Shared Room,0.005609158395847345
