,price,bedrooms,beds,number_of_reviews,review_scores_rating,reviews_per_month,host_tenure_years,occupancy_rate,estimated_annual_revenue
price,1.0,0.24612591988261867,0.2519491350402568,-0.009902962215814532,0.031405575518460224,0.024112364477230686,,-0.10594260456366152,0.4801446301690888
bedrooms,0.24612591988261867,1.0,0.6363257338803742,-0.02663561749784739,0.024000951554067992,-0.006838674736215508,,-0.07052040661373386,0.14586253559020634
beds,0.2519491350402568,0.6363257338803742,1.0,0.05566170272658642,0.0014099373658804826,0.06939288751810298,,-0.22026885715489392,0.09589747429367768
number_of_reviews,-0.009902962215814532,-0.02663561749784739,0.05566170272658642,1.0,0.014376758657079812,0.7653733187318662,,-0.02090240432786114,0.004004413152111802
review_scores_rating,0.031405575518460224,0.024000951554067992,0.0014099373658804826,0.014376758657079812,1.0,0.00044680112876381144,,0.047577505337155004,0.04419366383579013
reviews_per_month,0.024112364477230686,-0.006838674736215508,0.06939288751810298,0.7653733187318662,0.00044680112876381144,1.0,,-0.06041929645582355,0.01711959851622186
host_tenure_years,,,,,,,,,
occupancy_rate,-0.10594260456366152,-0.07052040661373386,-0.22026885715489392,-0.02090240432786114,0.047577505337155004,-0.06041929645582355,,1.0,0.41882389331377906
estimated_annual_revenue,0.4801446301690888,0.14586253559020634,0.09589747429367768,0.004004413152111802,0.04419366383579013,0.01711959851622186,,0.41882389331377906,1.0
