host_id,listings_count,avg_price,avg_rating,superhost_ratio,cluster_id
263682099,1,138.3,4.96,0.0,0
264109435,1,278.85,4.85,0.0,0
266108658,1,176.5,5.0,0.0,0
266312920,4,365.5975,4.97,0.0,0
270119796,1,278.85,4.67,0.0,0
270304636,1,949.0,5.0,0.0,0
272001812,7,136.0,4.708571428571429,1.0,1
272082418,2,999.0,4.535,0.0,0
272593664,1,153.72,4.81,0.0,0
275833371,2,135.07,4.85,0.0,0
275849638,53,401.56452830188675,4.718301886792453,0.0,2
276892829,1,526.0,4.72,1.0,1
278280097,1,42.9,4.85,0.0,0
279124542,5,1068.166,4.8839999999999995,1.0,1
281602481,1,111.07,5.0,1.0,1
282505012,2,294.5,4.92,1.0,1
284370640,1,278.85,4.85,0.0,0
285344759,18,215.77777777777777,4.16,0.0,2
285479034,1,262.0,4.68,0.0,0
287098257,1,109.0,4.68,0.0,0
290708089,1,411.0,5.0,0.0,0
291862111,1,542.06,5.0,0.0,0
292283551,5,278.85,4.1979999999999995,0.0,0
292681778,1,107.89,4.87,0.0,0
293553762,1,185.45,4.77,0.0,0
296308113,1,343.0,5.0,0.0,0
297416224,1,278.85,4.97,0.0,0
299305493,1,456.0,4.85,0.0,0
299340250,5,74.274,4.928,1.0,1
301580171,3,406.8,4.38,0.0,0
301744764,1,1484.0,4.96,1.0,1
303782110,1,232.27,5.0,1.0,1
305017623,1,213.53,5.0,0.0,0
305274008,1,278.85,4.0,0.0,0
305729499,3,221.77666666666667,4.95,0.0,0
305860570,1,359.47,4.97,1.0,1
306011239,3,588.9966666666667,4.956666666666667,1.0,1
306329570,4,293.515,4.9175,1.0,1
308835997,1,55.81,4.85,0.0,0
310450960,1,359.47,4.95,1.0,1
310662379,7,454.0,4.775714285714286,0.0,0
311463944,1,3689.38,4.9,1.0,1
312045025,3,698.0,4.906666666666666,0.0,0
312046089,1,510.0,4.9,1.0,1
314025657,1,278.85,5.0,0.0,0
316148588,6,235.5,4.323333333333333,0.0,0
318064329,1,346.92,4.81,1.0,1
319015619,2,597.6600000000001,4.95,1.0,1
329370033,5,318.934,4.872,1.0,1
330545895,1,278.85,4.97,0.0,0
331132678,3,330.3333333333333,3.83,0.0,0
331225367,2,347.5,4.77,1.0,1
331970881,1,14.77,4.85,0.0,0
332174718,1,302.76,5.0,1.0,1
336935834,1,157.84,4.75,0.0,0
339649775,1,565.0,4.91,1.0,1
341885174,1,278.85,4.85,0.0,0
341909564,1,351.73,4.85,0.0,0
341982890,1,439.93,4.82,0.0,0
344700889,1,774.86,4.97,1.0,1
346249638,1,1149.0,5.0,0.0,0
349093509,5,120.46599999999998,4.57,1.0,1
349400956,1,278.85,5.0,0.0,0
350745928,1,598.17,5.0,1.0,1
351001469,1,537.5,4.64,0.0,0
351555234,1,437.0,4.58,0.0,0
351582312,15,122.02733333333335,4.29,0.0,0
357698265,8,128.61,4.895,1.0,1
357700886,2,123.31,4.875,0.0,0
362014108,5,211.32399999999998,4.712,0.0,0
362155598,1,741.8,5.0,1.0,1
363098141,1,498.5,4.95,1.0,1
363501271,3,1424.41,5.0,0.0,0
365116307,35,438.53285714285715,4.69,1.0,2
365985792,1,499.0,4.43,0.0,0
366954587,1,571.0,4.89,1.0,1
369754035,1,278.85,5.0,0.0,0
370733465,1,466.5,4.95,0.0,0
371640674,11,313.90909090909093,4.787272727272727,1.0,1
371898646,1,479.0,4.86,1.0,1
371979353,1,502.12,4.85,0.0,0
372979049,1,210.52,4.85,0.0,0
373675137,117,160.47649572649573,4.8219658119658115,0.0,2
374049727,1,91.96,4.83,1.0,1
378836011,1,278.85,5.0,0.0,0
380623623,9,158.57444444444445,4.655555555555555,0.0,0
380867321,2,152.0,4.91,0.0,0
381043500,1,417.0,4.85,1.0,1
381199996,1,251.0,4.85,1.0,1
382316683,1,80.02,4.85,0.0,0
382384906,1,241.52,4.83,0.0,0
382451810,43,364.2179069767442,4.726046511627907,0.0,2
382740300,1,55.78,4.85,0.0,0
383016395,1,46.35,4.85,0.0,0
383689313,1,560.32,4.98,1.0,1
386040727,4,292.2175,4.7575,1.0,1
388302612,1,260.0,4.04,0.0,0
388391823,1,278.85,4.75,0.0,0
388634902,1,468.0,4.69,0.0,0
391569847,1,656.33,4.97,1.0,1
391573974,1,190.77,4.85,0.0,0
392028251,3,629.7233333333334,4.85,0.0,0
393011854,1,169.24,5.0,0.0,0
393194522,4,73.7675,4.475,0.0,0
394065719,1,541.5,5.0,1.0,1
395014290,1,282.0,4.52,0.0,0
397154199,1,366.0,4.63,0.0,0
397641165,2,563.0899999999999,4.85,0.0,0
397685075,1,455.0,4.85,0.0,0
399827239,1,362.0,4.97,1.0,1
400176914,1,223.0,4.78,0.0,0
400597920,2,217.81,5.0,1.0,1
403065422,1,275.02,4.91,1.0,1
403434847,1,173.0,4.85,0.0,0
406353986,19,231.51315789473685,4.707894736842105,0.0,0
406915877,3,13.270000000000001,4.85,0.0,0
406987220,1,278.85,5.0,1.0,1
407385860,1,226.76,4.96,1.0,1
407647560,1,323.33,4.98,1.0,1
409350031,1,1329.7,4.93,0.0,0
409684302,18,367.40444444444444,4.785,0.0,0
411294872,3,282.0,4.966666666666667,1.0,1
412452734,4,201.79749999999999,4.28,0.0,0
412792920,2,548.0,4.865,1.0,1
414161036,1,487.28,4.85,0.0,0
416027128,41,415.75804878048785,4.784878048780488,1.0,2
417546358,8,170.99625,4.845,0.0,0
418001090,2,204.0,4.395,0.0,0
420097750,1,668.0,5.0,0.0,0
421133258,1,523.33,4.93,1.0,1
421556719,2,821.0,4.9,0.0,0
423277942,1,520.38,4.9,1.0,1
423875908,6,382.75,4.196666666666666,0.0,0
424705245,1,289.48,4.99,1.0,1
426255925,1,217.5,5.0,0.0,0
426362048,1,1056.0,5.0,1.0,1
426371846,1,616.33,4.91,1.0,1
426546484,1,1255.5,4.8,0.0,0
427302487,1,278.85,4.85,0.0,0
427961225,4,320.0,4.904999999999999,1.0,1
428212069,2,217.09,4.54,0.0,0
428724673,3,618.7233333333334,4.88,1.0,1
429638778,8,624.6875,4.887499999999999,0.0,0
430192128,1,278.85,4.5,0.0,0
430295572,1,734.8,5.0,0.0,0
430457779,1,135.33,4.77,1.0,1
431779715,5,663.068,4.836,0.0,0
432501641,1,627.67,5.0,0.0,0
433085996,1,615.0,4.9,1.0,1
433310778,1,185.97,4.86,0.0,0
433688210,5,146.73200000000003,4.982,0.0,0
433846126,1,359.5,4.87,1.0,1
434750240,2,292.595,4.96,1.0,1
436831483,1,285.29,4.73,0.0,0
437204027,2,15.215,4.25,0.0,0
437249260,2,459.63,4.85,1.0,1
437760496,2,156.0,4.74,1.0,1
439013531,4,237.43,4.4475,0.0,0
443260490,1,216.82,4.85,0.0,0
443303200,1,149.0,4.57,0.0,0
443587558,2,1567.8200000000002,4.975,1.0,1
445030990,1,627.0,4.67,0.0,0
446229116,1,452.0,4.93,1.0,1
446663042,2,496.64,4.85,0.0,0
446952127,1,244.0,4.83,1.0,1
447259209,1,93.37,5.0,1.0,1
448777247,1,571.0,4.82,0.0,0
449873758,1,559.5,3.0,1.0,2
452792381,1,1420.0,4.85,0.0,0
452895007,2,170.075,4.85,0.0,0
453800603,1,21.99,4.85,0.0,0
454031378,4,376.75,4.775,0.0,0
455712298,1,205.41,4.85,0.0,0
456140484,1,480.0,4.93,1.0,1
456219260,4,520.875,4.9,0.0,0
457840267,2,278.85,4.855,0.0,0
458115828,2,177.425,4.93,1.0,1
459432105,1,188.3,4.95,1.0,1
459522450,3,221.59,4.8999999999999995,0.0,0
462388177,6,247.5,4.628333333333333,0.0,0
462567807,1,570.67,5.0,0.0,0
463230496,1,1282.0,4.98,1.0,1
463279571,1,361.67,5.0,1.0,1
463475392,8,699.95125,4.8375,1.0,1
