topic_id,theme,top_keywords
1,Location & Public Transit,"san, francisco, place, stay, br, nice, et, great, très, la"
2,Host Hospitality & Communication,"great, place, location, restaurants, easy, clean, close, park, stay, nice"
3,Room/Bed Comfort & Tidiness,"br, stay, room, place, und, great, check, clean, parking, bed"
4,Check-in/Check-out Experience,"room, nice, stay, beautiful, clean, really, airbnb, hotel, place, time"
5,Apartment Cleanliness & Amenities,"great, stay, place, location, clean, host, home, perfect, comfortable, recommend"
