host_id,listings_count,avg_price,avg_rating,superhost_ratio,cluster_id
101516029,1,240.0,4.65,0.0,1
101735432,2,128.5,4.205,0.0,1
102405067,1,189.5,4.68,1.0,0
102523118,10,134.9,4.5969999999999995,0.0,1
102579493,1,252.29,4.96,1.0,0
102654518,1,3566.5,4.92,0.0,1
103565030,1,349.0,5.0,0.0,1
103593017,1,149.17,4.96,1.0,0
103737079,1,117.53,5.0,0.0,1
103884979,12,165.80499999999998,4.45,0.0,1
104066106,1,403.33,4.94,1.0,0
104146938,1,245.0,4.85,1.0,0
104401000,3,648.3333333333334,4.973333333333334,1.0,0
104559424,2,727.25,4.98,1.0,0
104620340,1,543.0,4.95,0.0,1
104680075,1,115.43,4.17,0.0,1
104809788,1,251.93,5.0,1.0,0
104855808,1,150.67,5.0,1.0,0
105480603,1,691.6,5.0,0.0,1
105646223,1,440.49,4.96,1.0,0
105724944,1,126.13,4.94,1.0,0
106408163,1,471.0,4.75,1.0,0
106435046,1,558.63,5.0,1.0,0
106535057,1,206.57,4.33,0.0,1
106640821,1,252.29,4.92,0.0,1
106670799,1,543.0,4.88,1.0,0
106687468,1,167.67,4.79,1.0,0
106732887,1,252.29,5.0,0.0,1
107082058,5,209.2,4.79,0.0,1
107141420,2,141.26999999999998,4.675,1.0,0
107289523,1,252.29,4.92,0.0,1
107434423,179,257.9110055865922,4.802458100558659,0.0,1
107593124,1,80.06,4.92,0.0,1
107811635,2,104.0,4.800000000000001,0.0,1
108175391,1,252.29,5.0,0.0,1
108376619,1,143.83,4.96,0.0,1
108570290,1,252.29,4.92,0.0,1
109182483,1,410.5,4.95,1.0,0
109550778,3,151.95000000000002,4.983333333333333,1.0,0
110003688,1,94.03,5.0,0.0,1
110078968,6,144.77,4.831666666666667,1.0,0
110520207,1,185.73,4.84,0.0,1
110543095,1,252.29,4.92,0.0,1
111017451,1,12.89,4.92,0.0,1
111065818,1,141.97,4.97,1.0,0
111213418,1,281.27,4.86,1.0,0
111817270,16,230.601875,4.90375,1.0,0
112412497,1,126.95,4.5,0.0,1
112479698,1,657.0,5.0,0.0,1
113405017,3,398.0,4.916666666666667,1.0,0
113483038,2,1516.7350000000001,4.9399999999999995,1.0,0
114592523,1,836.77,5.0,1.0,0
114960457,1,137.0,4.83,0.0,1
115024967,1,252.29,5.0,0.0,1
115109717,4,418.0,4.8375,1.0,0
115416167,1,252.29,4.93,0.0,1
115417467,1,1632.0,5.0,0.0,1
115436361,1,187.0,5.0,0.0,1
115599453,1,228.61,4.92,0.0,1
115689498,1,252.29,5.0,0.0,1
115809271,3,252.29,4.973333333333334,1.0,0
115841608,1,215.67,4.92,1.0,0
116169686,2,216.615,4.92,0.0,1
116314825,1,979.67,5.0,0.0,1
116932500,1,46.08,4.92,0.0,1
116993949,2,154.07,5.0,0.0,1
117141107,24,252.29,4.763333333333333,0.0,1
117919835,1,228.5,4.97,1.0,0
117954292,2,677.0,5.0,0.0,1
117987879,1,279.0,4.73,0.0,1
118057447,1,252.29,4.92,0.0,1
118436227,2,225.0,4.8,1.0,0
118572305,6,208.96333333333334,4.973333333333334,0.0,1
118600175,1,273.0,4.68,0.0,1
119056645,2,1186.53,4.98,0.0,1
119444620,1,252.29,4.97,1.0,0
119672440,1,576.5,4.81,1.0,0
119674934,1,111.92,4.74,1.0,0
119686948,1,563.0,4.96,1.0,0
119688061,1,155.0,4.86,1.0,0
120222809,1,104.0,4.88,1.0,0
120248703,1,569.45,4.93,1.0,0
120614686,1,226.67,4.89,1.0,0
120749240,1,64.1,4.86,0.0,1
121572473,1,155.8,4.92,0.0,1
121915753,1,879.0,4.96,0.0,1
122063772,1,135.32,5.0,0.0,1
122392376,1,143.0,4.93,1.0,0
122565703,1,314.0,5.0,1.0,0
122880067,1,178.73,5.0,1.0,0
122922522,10,149.808,4.93,1.0,0
123012015,1,399.67,4.96,1.0,0
123436073,1,252.29,4.92,0.0,1
123630611,1,161.5,5.0,1.0,0
123689681,3,252.29,4.92,1.0,0
123692704,1,252.29,4.82,0.0,1
123920280,1,98.27,4.0,0.0,1
123929812,1,182.65,4.92,0.0,1
124022035,1,401.33,4.98,1.0,0
124051180,1,1045.0,4.52,0.0,1
124779213,1,189.5,4.7,0.0,1
125365205,1,1095.53,4.92,0.0,1
125735523,1,252.29,4.67,0.0,1
125934684,1,242.5,4.88,1.0,0
126283237,1,399.6,5.0,0.0,1
126354201,1,252.29,5.0,0.0,1
126354756,1,252.29,4.78,0.0,1
