room_type,mae,mape,count
Entire Home/Apt,94.00705077142615,29.584023433815737,16808
Hotel Room,165.76254147121426,19.353979751673744,520
Private Room,71.81503828120357,41.016429007548126,12364
Shared Room,45.27902948777237,22.32396842617408,218
