feature,importance,importance_std
neighbourhood_group_cleansed_Manhattan,0.34506195520427113,0.005262897100712478
beds,0.29425165069949794,0.0014119270698004377
room_type_Private Room,0.23203257688617576,0.003956224084794702
desc_len,0.18496332445260907,0.0032981793932346263
number_of_reviews,0.18192920592887019,0.0016664573522864555
bedrooms,0.1740589746623067,0.0015016211999781925
name_len,0.11874024700504626,0.0014100498259541061
review_scores_rating,0.07709161284156951,0.001345838698826312
host_is_superhost,0.06320138162581179,0.0017691121554613168
neighbourhood_group_cleansed_Brooklyn,0.045794667008693536,0.0007695330066796233
room_type_Hotel Room,0.043650668545869555,0.0004772885707406124
room_type_Shared Room,0.021392171812716725,0.00039321744320858394
neighbourhood_group_cleansed_Queens,0.006660278563246136,0.00016867173806892755
neighbourhood_group_cleansed_Staten Island,0.0016919811312967974,8.52788772556312e-05
