borough,mae,mape,count
Bronx,59.3957728112042,38.485557902544585,972
Brooklyn,64.02929717480518,33.16479228607228,10540
Manhattan,115.06972644019426,33.88712563752026,13395
Queens,58.99509156509955,35.82574031390447,4671
Staten Island,43.77244248908972,33.376912094484936,332
