room_type,mae,mape,count
Entire Home/Apt,123.29128583308376,27.627069515878627,4477
Hotel Room,90.58460930769795,15.500784957846491,243
Private Room,140.1698001942727,38.87832716382438,2489
Shared Room,20.318780238160294,15.86661573721469,33
