,price,bedrooms,beds,number_of_reviews,review_scores_rating,reviews_per_month,host_tenure_years,occupancy_rate,estimated_annual_revenue
price,1.0,0.12915662654531743,0.1334515450945908,-0.03455881487711794,0.03664904354719495,-0.02633273318690702,,-0.059243788018327956,0.19501091531276712
bedrooms,0.12915662654531743,1.0,0.7365969150618323,-0.08454463121735907,0.05929195338248276,-0.05722786338088534,,0.0061189091697881936,0.3237635294330052
beds,0.1334515450945908,0.7365969150618323,1.0,-0.06520123678189253,0.04867339596901677,-0.03905299088529287,,-0.0029934510599288265,0.2863013796929805
number_of_reviews,-0.03455881487711794,-0.08454463121735907,-0.06520123678189253,1.0,0.020759458241459555,0.6782685516142728,,0.013743765675689763,-0.035193753319975436
review_scores_rating,0.03664904354719495,0.05929195338248276,0.04867339596901677,0.020759458241459555,1.0,0.006917156366417693,,0.11719072597756149,0.1303858118519179
reviews_per_month,-0.02633273318690702,-0.05722786338088534,-0.03905299088529287,0.6782685516142728,0.006917156366417693,1.0,,0.001597041780586714,-0.011840485593722964
host_tenure_years,,,,,,,,,
occupancy_rate,-0.059243788018327956,0.0061189091697881936,-0.0029934510599288265,0.013743765675689763,0.11719072597756149,0.001597041780586714,,1.0,0.5174951812621165
estimated_annual_revenue,0.19501091531276712,0.3237635294330052,0.2863013796929805,-0.035193753319975436,0.1303858118519179,-0.011840485593722964,,0.5174951812621165,1.0
