feature,importance
room_type_Private Room,0.3448348159640366
desc_len,0.17234228464612256
beds,0.15806440352133488
number_of_reviews,0.08880152018050758
name_len,0.08707969171102489
review_scores_rating,0.062183520974947525
bedrooms,0.047054131053127835
host_is_superhost,0.020990403741568953
room_type_Hotel Room,0.018276713161658804
room_type_Shared Room,0.00037251504567042184
