host_id,listings_count,avg_price,avg_rating,superhost_ratio,cluster_id
110958,1,174.69,4.69,0.0,0
111837,1,174.69,5.0,0.0,0
114590,1,642.9,5.0,0.0,0
117287,4,221.1625,4.8925,0.0,0
117738,1,605.63,4.86,0.0,0
119441,1,105.1,4.83,1.0,1
119588,1,174.69,5.0,1.0,1
120223,1,174.69,4.85,0.0,0
120623,1,171.31,4.86,0.0,0
121274,1,174.69,4.94,0.0,0
121822,1,201.42,4.5,0.0,0
123097,1,174.69,5.0,0.0,0
124352,1,174.69,4.95,0.0,0
124357,1,70.07,4.55,0.0,0
124797,1,82.96,4.83,1.0,1
125079,1,387.9,5.0,0.0,0
127292,3,127.69,4.806666666666667,0.0,0
127608,1,272.5,4.95,1.0,1
127767,1,174.69,4.83,0.0,0
128480,1,203.33,4.91,1.0,1
128663,1,174.69,4.67,0.0,0
128806,1,174.69,4.81,0.0,0
128890,1,174.69,4.56,0.0,0
128920,1,174.69,4.67,0.0,0
129123,1,174.69,4.94,0.0,0
130804,1,174.69,4.86,0.0,0
130901,1,665.55,4.87,0.0,0
131886,1,174.69,5.0,0.0,0
132701,1,174.69,4.9,0.0,0
132752,1,168.17,4.86,0.0,0
133077,1,90.56,5.0,0.0,0
134516,1,176.99,4.86,0.0,0
134936,1,174.69,4.79,0.0,0
135619,1,174.69,4.71,0.0,0
137814,2,156.985,4.55,0.0,0
138243,1,174.69,4.12,0.0,0
141300,1,194.73,5.0,0.0,0
141933,1,770.5,4.85,1.0,1
143027,1,179.27,4.96,1.0,1
144115,1,107.5,5.0,0.0,0
145616,1,174.69,4.86,1.0,1
148108,1,339.2,4.69,0.0,0
148231,1,160.0,4.98,1.0,1
148545,1,174.69,4.0,0.0,0
149929,1,156.67,4.96,1.0,1
150832,1,174.69,4.71,0.0,0
151183,1,603.28,4.86,0.0,0
151654,1,174.69,4.0,0.0,0
153494,1,143.0,4.82,0.0,0
153817,1,118.67,4.77,0.0,0
154061,1,295.0,5.0,0.0,0
154866,1,155.97,4.88,0.0,0
155163,1,174.69,4.0,0.0,0
156298,1,69.57,5.0,0.0,0
157241,1,174.69,4.85,1.0,1
