topic_id,theme,top_keywords
1,Location & Public Transit,"br, apartment, great, place, subway, restaurants, stay, walk, close, manhattan"
2,Host Hospitality & Communication,"la, muy, el, en, br, es, que, und, para, die"
3,Room/Bed Comfort & Tidiness,"br, et, est, très, le, la, nous, pour, appartement, les"
4,Check-in/Check-out Experience,"great, stay, place, clean, location, nice, room, good, really, apartment"
5,Apartment Cleanliness & Amenities,"great, stay, place, host, clean, location, apartment, definitely, recommend, check"
